# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.13,0.00
1,1000,1.13,0.88
2,1000,1.13,1.77
4,1000,1.13,3.54
8,1000,1.13,7.11
16,1000,1.13,14.20
32,1000,1.15,27.75
64,1000,1.32,48.31
128,1000,1.38,92.46
256,1000,2.63,97.42
512,1000,1.71,299.69
1024,1000,1.88,545.58
2048,1000,2.56,800.02
4096,1000,3.41,1200.82
8192,1000,4.33,1891.31
16384,1000,6.03,2715.05
32768,1000,9.47,3460.30
65536,640,12.50,5241.72
131072,320,21.64,6056.98
262144,160,32.67,8024.50
524288,80,54.70,9585.27
1048576,40,96.63,10851.32
2097152,20,185.54,11303.09
4194304,10,353.86,11852.84
