# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.30
2,1000,0.44,4.58
4,1000,0.43,9.24
8,1000,0.43,18.39
16,1000,0.43,36.81
32,1000,0.47,67.93
64,1000,0.47,135.94
128,1000,0.58,222.53
256,1000,0.63,409.60
512,1000,0.82,621.72
1024,1000,0.89,1146.35
2048,1000,1.07,1908.53
4096,1000,1.49,2757.07
8192,1000,1.96,4177.02
16384,1000,3.36,4880.50
32768,1000,5.17,6332.52
65536,640,9.22,7104.77
131072,320,17.99,7286.47
262144,160,34.42,7615.48
524288,80,83.92,6247.18
1048576,40,170.29,6157.75
2097152,20,337.44,6214.95
4194304,10,669.52,6264.66
