# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.31
2,1000,0.44,4.56
4,1000,0.44,9.13
8,1000,0.44,18.32
16,1000,0.44,36.54
32,1000,0.47,67.47
64,1000,0.47,134.96
128,1000,0.57,222.89
256,1000,0.62,413.82
512,1000,0.82,623.82
1024,1000,0.89,1156.87
2048,1000,1.07,1921.13
4096,1000,1.48,2763.15
8192,1000,2.00,4091.47
16384,1000,3.35,4892.86
32768,1000,5.04,6495.77
65536,640,9.17,7145.91
131072,320,18.14,7226.59
262144,160,34.48,7601.80
524288,80,83.44,6283.66
1048576,40,169.81,6174.89
2097152,20,336.90,6224.92
4194304,10,670.04,6259.79
