# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.44,2.25
2,1000,0.44,4.50
4,1000,0.44,8.99
8,1000,0.44,17.99
16,1000,0.45,35.92
32,1000,0.63,51.05
64,1000,0.62,103.55
128,1000,1.03,124.44
256,1000,1.12,228.27
512,1000,1.20,426.03
1024,1000,1.50,684.10
2048,1000,2.25,909.39
4096,1000,3.24,1265.57
8192,1000,5.19,1579.62
16384,1000,4.37,3748.88
32768,1000,5.35,6126.50
65536,640,6.63,9884.70
131072,320,8.73,15013.30
262144,160,12.90,20315.22
524288,80,22.19,23624.87
1048576,40,51.48,20368.10
2097152,20,143.30,14635.02
4194304,10,293.39,14296.22
