# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.23,4.28
2,1000,0.24,8.39
4,1000,0.23,17.10
8,1000,0.23,34.22
16,1000,0.24,68.03
32,1000,0.24,131.31
64,1000,0.24,262.62
128,1000,0.27,479.90
256,1000,0.28,905.28
512,1000,0.44,1174.37
1024,1000,0.44,2337.48
2048,1000,0.61,3372.65
4096,1000,0.85,4795.96
8192,1000,1.43,5720.98
16384,1000,2.34,6990.26
32768,1000,3.52,9317.54
65536,640,5.69,11513.79
131072,320,8.55,15321.70
262144,160,14.75,17767.70
524288,80,40.81,12845.74
1048576,40,80.76,12984.11
2097152,20,153.53,13659.90
4194304,10,380.02,11037.05
