# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.39,2.53
2,1000,0.40,5.02
4,1000,0.40,10.07
8,1000,0.41,19.66
16,1000,0.40,40.36
32,1000,0.55,57.94
64,1000,0.55,115.36
128,1000,0.90,142.42
256,1000,0.94,271.94
512,1000,1.13,453.29
1024,1000,1.32,773.12
2048,1000,2.09,978.60
4096,1000,2.99,1368.95
8192,1000,4.77,1716.81
16384,1000,7.34,2232.14
32768,1000,13.01,2518.33
65536,640,23.95,2736.39
131072,320,45.58,2875.71
262144,160,14.77,17743.19
524288,80,26.07,20109.94
1048576,40,55.47,18902.31
2097152,20,144.71,14492.08
4194304,10,300.74,13946.76
