# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.34,0.00
1,1000,9.37,0.11
2,1000,9.40,0.21
4,1000,9.46,0.42
8,1000,9.39,0.85
16,1000,9.40,1.70
32,1000,9.38,3.41
64,1000,9.47,6.76
128,1000,9.59,13.35
256,1000,9.76,26.24
512,1000,9.53,53.75
1024,1000,9.90,103.42
2048,1000,11.69,175.23
4096,1000,12.74,321.41
8192,1000,14.31,572.47
16384,1000,17.96,912.36
32768,1000,27.96,1172.08
65536,640,57.29,1143.88
131072,320,81.42,1609.91
262144,160,118.62,2209.88
524288,80,167.56,3128.97
1048576,40,278.24,3768.61
2097152,20,502.31,4175.03
4194304,10,1052.11,3986.58
