# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.99,0.00
1,1000,8.04,0.12
2,1000,8.02,0.25
4,1000,8.02,0.50
8,1000,8.03,1.00
16,1000,8.05,1.99
32,1000,8.04,3.98
64,1000,8.05,7.95
128,1000,8.38,15.27
256,1000,8.43,30.35
512,1000,8.58,59.70
1024,1000,9.60,106.64
2048,1000,9.11,224.92
4096,1000,10.80,379.17
8192,1000,11.84,691.71
16384,1000,15.72,1041.99
32768,1000,26.20,1250.83
65536,640,57.88,1132.20
131072,320,79.05,1658.11
262144,160,113.48,2310.11
524288,80,173.05,3029.66
1048576,40,305.83,3428.57
2097152,20,603.06,3477.49
4194304,10,1230.97,3407.32
