# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.25,0.00
1,1000,0.28,3.60
2,1000,0.28,7.15
4,1000,0.28,14.25
8,1000,0.28,28.16
16,1000,0.31,52.32
32,1000,0.29,110.33
64,1000,0.36,179.47
128,1000,0.41,313.71
256,1000,0.46,557.50
512,1000,0.63,815.70
1024,1000,0.72,1426.69
2048,1000,0.93,2211.74
4096,1000,1.79,2292.93
8192,1000,2.07,3964.24
16384,1000,2.71,6047.08
32768,1000,3.61,9070.08
65536,640,5.51,11889.30
131072,320,9.95,13178.30
262144,160,19.28,13596.49
524288,80,39.03,13431.53
1048576,40,92.04,11392.73
2097152,20,219.55,9552.05
4194304,10,441.39,9502.48
