# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.24,4.25
2,1000,0.24,8.49
4,1000,0.24,17.00
8,1000,0.24,33.94
16,1000,0.24,67.75
32,1000,0.25,130.55
64,1000,0.25,261.16
128,1000,0.26,483.49
256,1000,0.29,892.54
512,1000,0.42,1227.13
1024,1000,0.47,2176.41
2048,1000,0.61,3355.13
4096,1000,0.90,4541.25
8192,1000,1.45,5659.79
16384,1000,2.35,6965.39
32768,1000,3.61,9082.98
65536,640,5.74,11425.35
131072,320,8.82,14868.12
262144,160,15.31,17121.37
524288,80,41.45,12649.70
1048576,40,84.74,12373.76
2097152,20,165.31,12686.22
4194304,10,444.64,9433.12
8388608,5,1168.80,7177.13
16777216,2,2518.69,6661.08
33554432,1,6052.05,5544.31
67108864,1,12142.78,5526.65
134217728,1,24371.47,5507.17
268435456,1,50347.22,5331.68
