# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.21,0.00
1,1000,1.22,0.82
2,1000,1.21,1.65
4,1000,1.22,3.29
8,1000,1.21,6.61
16,1000,1.21,13.18
32,1000,1.24,25.76
64,1000,1.48,43.27
128,1000,1.53,83.73
256,1000,1.81,141.31
512,1000,1.90,269.88
1024,1000,2.08,492.98
2048,1000,2.85,719.23
4096,1000,3.66,1118.23
8192,1000,4.75,1723.47
16384,1000,6.51,2518.07
32768,1000,9.96,3288.60
65536,640,13.03,5029.99
131072,320,21.68,6045.50
262144,160,32.73,8008.66
524288,80,55.69,9414.12
1048576,40,96.72,10840.98
2097152,20,182.86,11468.78
4194304,10,353.74,11856.90
8388608,5,696.68,12040.86
16777216,2,1382.60,12134.54
33554432,1,2761.97,12148.74
67108864,1,5496.67,12209.01
134217728,1,10983.46,12219.99
268435456,1,22002.32,12200.33
