# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.35
2,1000,0.42,4.71
4,1000,0.43,9.39
8,1000,0.43,18.70
16,1000,0.43,37.56
32,1000,0.46,68.93
64,1000,0.46,137.72
128,1000,0.58,219.92
256,1000,0.61,417.08
512,1000,0.85,604.79
1024,1000,0.91,1121.26
2048,1000,1.08,1899.12
4096,1000,1.48,2762.27
8192,1000,2.00,4092.45
16384,1000,3.29,4976.73
32768,1000,5.14,6371.87
65536,640,9.23,7100.62
131072,320,17.88,7329.20
262144,160,35.35,7416.65
524288,80,82.61,6346.37
1048576,40,168.29,6230.78
2097152,20,334.60,6267.68
4194304,10,668.20,6277.02
8388608,5,1429.83,5866.84
16777216,2,3937.27,4261.13
33554432,1,8098.44,4143.32
67108864,1,16124.07,4162.03
134217728,1,32296.76,4155.76
268435456,1,64633.19,4153.21
