# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.59,0.00
1,1000,9.38,0.11
2,1000,9.37,0.21
4,1000,9.33,0.43
8,1000,9.28,0.86
16,1000,9.27,1.73
32,1000,9.28,3.45
64,1000,9.25,6.92
128,1000,9.36,13.68
256,1000,9.38,27.30
512,1000,11.83,43.28
1024,1000,12.53,81.71
2048,1000,15.06,136.01
4096,1000,16.64,246.22
8192,1000,19.24,425.76
16384,1000,28.46,575.71
32768,1000,42.48,771.30
65536,640,71.93,911.05
131072,320,133.96,978.44
262144,160,155.81,1682.44
524288,80,232.35,2256.46
1048576,40,387.39,2706.78
2097152,20,678.46,3091.06
4194304,10,1492.02,2811.15
8388608,5,2594.55,3233.16
16777216,2,5443.20,3082.23
33554432,1,10874.82,3085.52
67108864,1,21590.73,3108.23
134217728,1,41622.26,3224.66
268435456,1,84447.32,3178.73
