# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.41
2,1000,0.23,8.85
4,1000,0.23,17.60
8,1000,0.23,35.20
16,1000,0.23,70.20
32,1000,0.24,132.63
64,1000,0.24,263.85
128,1000,0.26,497.35
256,1000,0.28,906.97
512,1000,0.44,1150.86
1024,1000,0.45,2283.19
2048,1000,0.59,3463.37
4096,1000,0.88,4674.92
8192,1000,1.44,5692.42
16384,1000,2.34,6988.49
32768,1000,3.60,9111.37
65536,640,5.74,11418.09
131072,320,8.89,14749.22
262144,160,15.68,16719.80
524288,80,41.52,12626.32
1048576,40,85.08,12323.89
2097152,20,165.04,12706.65
4194304,10,433.30,9680.02
8388608,5,1188.30,7059.33
16777216,2,2560.53,6552.24
33554432,1,6078.99,5519.74
67108864,1,12094.25,5548.82
134217728,1,24410.31,5498.40
268435456,1,50474.78,5318.21
