# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.49
2,1000,0.22,9.02
4,1000,0.22,17.95
8,1000,0.22,35.87
16,1000,0.22,71.62
32,1000,0.24,134.15
64,1000,0.24,268.14
128,1000,0.26,497.73
256,1000,0.28,917.26
512,1000,0.44,1157.84
1024,1000,0.44,2307.33
2048,1000,0.60,3441.81
4096,1000,0.85,4822.21
8192,1000,1.49,5512.23
16384,1000,2.41,6787.98
32768,1000,3.60,9092.42
65536,640,5.90,11103.54
131072,320,8.97,14607.98
262144,160,16.24,16137.82
524288,80,41.62,12597.60
1048576,40,85.02,12332.98
2097152,20,165.54,12668.71
4194304,10,429.92,9756.00
8388608,5,1146.88,7314.26
16777216,2,2597.26,6459.59
33554432,1,6088.26,5511.33
67108864,1,12113.24,5540.13
134217728,1,24441.64,5491.35
268435456,1,50428.15,5323.13
