# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.04,0.00
1,1000,12.04,0.08
2,1000,12.05,0.17
4,1000,12.03,0.33
8,1000,12.01,0.67
16,1000,12.02,1.33
32,1000,12.06,2.65
64,1000,12.24,5.23
128,1000,11.84,10.81
256,1000,29.40,8.71
512,1000,31.07,16.48
1024,1000,40.45,25.31
2048,1000,31.09,65.88
4096,1000,30.06,136.24
8192,1000,25.26,324.30
16384,1000,29.89,548.10
32768,1000,66.40,493.48
65536,640,59.83,1095.32
131072,320,108.82,1204.52
262144,160,160.27,1635.63
524288,80,251.69,2083.10
1048576,40,456.46,2297.18
2097152,20,867.93,2416.26
4194304,10,1697.81,2470.42
8388608,5,3741.06,2242.31
16777216,2,8562.50,1959.38
33554432,1,11891.52,2821.71
67108864,1,23739.23,2826.92
134217728,1,45974.62,2919.39
268435456,1,94322.61,2845.93
