# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=sockets ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,10.40,0.00
1,1000,10.20,0.10
2,1000,10.14,0.20
4,1000,10.11,0.40
8,1000,10.06,0.80
16,1000,10.09,1.59
32,1000,10.06,3.18
64,1000,10.07,6.36
128,1000,10.19,12.57
256,1000,28.25,9.06
512,1000,28.43,18.01
1024,1000,35.30,29.01
2048,1000,33.07,61.94
4096,1000,34.34,119.28
8192,1000,27.62,296.63
16384,1000,29.11,562.87
32768,1000,46.96,697.83
65536,640,85.93,762.63
131072,320,104.94,1249.03
262144,160,139.58,1878.14
524288,80,217.80,2407.15
1048576,40,394.01,2661.30
2097152,20,781.31,2684.14
4194304,10,1574.43,2664.01
8388608,5,2572.80,3260.49
16777216,2,5401.89,3105.81
33554432,1,10781.89,3112.11
67108864,1,40905.79,1640.57
134217728,1,42067.01,3190.57
268435456,1,84068.96,3193.04
