# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.45
2,1000,0.22,8.95
4,1000,0.22,17.79
8,1000,0.23,35.55
16,1000,0.23,70.80
32,1000,0.24,133.20
64,1000,0.24,265.15
128,1000,0.26,498.23
256,1000,0.28,901.22
512,1000,0.44,1172.27
1024,1000,0.44,2345.61
2048,1000,0.59,3469.13
4096,1000,0.85,4808.58
8192,1000,1.46,5593.00
16384,1000,2.42,6765.93
32768,1000,3.62,9061.02
65536,640,5.86,11189.82
131072,320,8.98,14593.62
262144,160,15.91,16476.52
524288,80,41.52,12625.98
1048576,40,85.14,12315.19
2097152,20,165.91,12640.23
4194304,10,431.66,9716.78
8388608,5,1196.79,7009.27
16777216,2,2717.89,6172.89
33554432,1,6069.07,5528.76
67108864,1,12096.77,5547.67
134217728,1,24358.73,5510.05
268435456,1,50408.24,5325.23
