# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.45,2.24
2,1000,0.45,4.47
4,1000,0.45,8.92
8,1000,0.45,17.92
16,1000,0.45,35.88
32,1000,0.65,49.42
64,1000,0.64,100.71
128,1000,0.99,129.87
256,1000,1.06,241.46
512,1000,1.18,433.94
1024,1000,1.48,692.79
2048,1000,2.25,911.05
4096,1000,3.24,1263.35
8192,1000,5.20,1575.30
16384,1000,4.54,3612.05
32768,1000,5.46,6003.46
65536,640,6.76,9699.95
131072,320,9.52,13762.03
262144,160,13.11,19989.17
524288,80,25.85,20283.54
1048576,40,54.35,19291.71
2097152,20,138.07,15189.47
4194304,10,301.20,13925.16
8388608,5,665.19,12610.88
16777216,2,2185.41,7676.94
33554432,1,6054.47,5542.09
67108864,1,12548.66,5347.89
134217728,1,25530.66,5257.12
268435456,1,49492.02,5423.81
