# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.25,3.99
2,1000,0.24,8.25
4,1000,0.24,16.53
8,1000,0.24,33.19
16,1000,0.24,66.16
32,1000,0.29,111.83
64,1000,0.28,224.93
128,1000,0.37,349.60
256,1000,0.42,606.99
512,1000,0.46,1123.75
1024,1000,0.59,1729.52
2048,1000,0.83,2480.36
4096,1000,1.21,3385.70
8192,1000,2.00,4086.77
16384,1000,3.55,4612.89
32768,1000,4.57,7175.01
65536,640,6.02,10889.57
131072,320,8.71,15043.52
262144,160,12.48,21010.75
524288,80,25.72,20384.20
1048576,40,49.72,21089.86
2097152,20,133.44,15715.60
4194304,10,302.40,13869.96
8388608,5,905.52,9263.90
16777216,2,2334.48,7186.71
33554432,1,5341.76,6281.53
67108864,1,10767.43,6232.58
134217728,1,21567.72,6223.08
268435456,1,42659.31,6292.54
