# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.23,0.00
1,1000,5.30,0.19
2,1000,5.30,0.38
4,1000,5.29,0.76
8,1000,5.29,1.51
16,1000,5.29,3.02
32,1000,5.31,6.03
64,1000,5.32,12.02
128,1000,5.37,23.86
256,1000,5.39,47.50
512,1000,5.43,94.21
1024,1000,6.02,170.21
2048,1000,5.86,349.71
4096,1000,6.70,611.57
8192,1000,7.24,1131.73
16384,1000,9.24,1772.24
32768,1000,15.37,2132.17
65536,640,29.24,2241.20
131072,320,37.62,3484.48
262144,160,52.74,4970.15
524288,80,86.80,6040.23
1048576,40,149.47,7015.23
2097152,20,290.21,7226.44
4194304,10,637.10,6583.40
8388608,5,1553.42,5400.11
16777216,2,3317.49,5057.20
33554432,1,6708.52,5001.76
67108864,1,13053.23,5141.17
134217728,1,25910.49,5180.05
268435456,1,51574.22,5204.84
