# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.84,0.00
1,1000,4.95,0.20
2,1000,4.94,0.40
4,1000,4.95,0.81
8,1000,4.97,1.61
16,1000,4.95,3.23
32,1000,4.95,6.47
64,1000,4.99,12.82
128,1000,5.09,25.17
256,1000,5.10,50.18
512,1000,5.15,99.44
1024,1000,5.70,179.59
2048,1000,5.50,372.07
4096,1000,6.46,633.96
8192,1000,6.89,1188.76
16384,1000,8.87,1846.87
32768,1000,14.75,2221.64
65536,640,27.86,2352.59
131072,320,39.07,3354.47
262144,160,54.14,4841.92
524288,80,87.20,6012.75
1048576,40,152.17,6890.92
2097152,20,289.99,7231.79
4194304,10,637.80,6576.23
8388608,5,1582.82,5299.79
16777216,2,3384.30,4957.36
33554432,1,6772.50,4954.51
67108864,1,13037.82,5147.24
134217728,1,25906.46,5180.86
268435456,1,51668.13,5195.38
