# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.95
2,1000,0.20,10.10
4,1000,0.20,19.94
8,1000,0.20,40.00
16,1000,0.19,85.55
32,1000,0.23,138.37
64,1000,0.23,272.62
128,1000,0.31,410.06
256,1000,0.33,784.06
512,1000,0.40,1287.19
1024,1000,0.51,2005.34
2048,1000,0.75,2742.50
4096,1000,1.12,3641.20
8192,1000,1.88,4367.83
16384,1000,2.96,5543.43
32768,1000,4.82,6800.19
65536,640,8.31,7887.76
131072,320,15.09,8684.60
262144,160,13.89,18870.12
524288,80,24.92,21042.13
1048576,40,52.85,19840.47
2097152,20,143.30,14635.20
4194304,10,316.40,13256.32
8388608,5,908.80,9230.44
16777216,2,2381.52,7044.76
33554432,1,5355.39,6265.55
67108864,1,10793.72,6217.40
134217728,1,21707.09,6183.13
268435456,1,42887.04,6259.13
