# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.27,0.00
1,1000,0.29,3.48
2,1000,0.28,7.07
4,1000,0.28,14.16
8,1000,0.29,28.00
16,1000,0.31,51.23
32,1000,0.31,103.12
64,1000,0.36,178.60
128,1000,0.40,320.11
256,1000,0.46,560.90
512,1000,0.63,817.36
1024,1000,0.72,1418.06
2048,1000,0.85,2414.99
4096,1000,1.84,2224.43
8192,1000,2.12,3872.37
16384,1000,2.74,5981.90
32768,1000,3.64,8994.24
65536,640,5.48,11953.62
131072,320,10.10,12983.27
262144,160,19.59,13381.58
524288,80,39.51,13268.44
1048576,40,93.45,11221.00
2097152,20,224.63,9335.95
4194304,10,539.14,7779.56
8388608,5,1623.14,5168.12
16777216,2,3944.45,4253.37
33554432,1,8367.93,4009.89
67108864,1,16668.75,4026.03
134217728,1,32916.72,4077.49
268435456,1,64861.16,4138.62
