# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.41,2.42
2,1000,0.40,5.00
4,1000,0.40,10.01
8,1000,0.40,20.11
16,1000,0.40,40.11
32,1000,0.56,57.12
64,1000,0.55,115.50
128,1000,0.91,140.70
256,1000,0.94,271.50
512,1000,1.14,447.46
1024,1000,1.36,753.88
2048,1000,2.09,979.72
4096,1000,3.09,1324.61
8192,1000,4.97,1649.26
16384,1000,7.75,2113.57
32768,1000,14.41,2273.35
65536,640,26.46,2476.52
131072,320,49.92,2625.65
262144,160,16.13,16255.25
524288,80,28.38,18475.45
1048576,40,56.53,18549.74
2097152,20,147.67,14201.54
4194304,10,293.28,14301.58
8388608,5,644.42,13017.34
16777216,2,2129.47,7878.59
33554432,1,6120.55,5482.25
67108864,1,12825.55,5232.44
134217728,1,25518.71,5259.58
268435456,1,49972.64,5371.65
