# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.91,0.00
1,1000,7.97,0.13
2,1000,7.98,0.25
4,1000,7.97,0.50
8,1000,8.01,1.00
16,1000,7.99,2.00
32,1000,8.01,4.00
64,1000,8.00,8.00
128,1000,8.39,15.26
256,1000,8.44,30.35
512,1000,8.41,60.91
1024,1000,9.53,107.44
2048,1000,8.89,230.33
4096,1000,10.79,379.51
8192,1000,11.39,719.44
16384,1000,15.52,1055.35
32768,1000,25.60,1279.84
65536,640,55.42,1182.61
131072,320,76.66,1709.67
262144,160,110.65,2369.11
524288,80,174.51,3004.31
1048576,40,306.04,3426.30
2097152,20,603.21,3476.63
4194304,10,1198.90,3498.45
8388608,5,2416.02,3472.08
16777216,2,5206.18,3222.56
33554432,1,10771.33,3115.16
67108864,1,21151.50,3172.77
134217728,1,41468.80,3236.60
268435456,1,81372.65,3298.84
