# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.26,0.00
1,1000,0.29,3.43
2,1000,0.28,7.12
4,1000,0.28,14.12
8,1000,0.29,28.06
16,1000,0.31,51.30
32,1000,0.30,106.88
64,1000,0.34,188.50
128,1000,0.37,347.70
256,1000,0.42,610.46
512,1000,0.61,842.50
1024,1000,0.78,1314.77
2048,1000,0.89,2306.86
4096,1000,1.81,2263.09
8192,1000,2.08,3940.34
16384,1000,2.76,5946.33
32768,1000,3.77,8691.69
65536,640,5.70,11499.90
131072,320,8.92,14694.79
262144,160,19.11,13715.79
524288,80,39.72,13200.74
1048576,40,93.51,11213.69
2097152,20,222.57,9422.38
4194304,10,541.62,7744.02
8388608,5,1637.93,5121.46
16777216,2,3976.77,4218.81
33554432,1,8359.98,4013.70
67108864,1,16761.18,4003.83
134217728,1,32985.86,4068.95
268435456,1,64932.74,4134.05
