# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,10.95,0.00
1,1000,11.14,0.09
2,1000,11.05,0.18
4,1000,11.10,0.36
8,1000,11.19,0.71
16,1000,11.16,1.43
32,1000,11.24,2.85
64,1000,11.32,5.65
128,1000,11.54,11.09
256,1000,11.52,22.23
512,1000,11.35,45.12
1024,1000,11.93,85.86
2048,1000,13.06,156.83
4096,1000,13.85,295.82
8192,1000,17.17,477.24
16384,1000,19.09,858.41
32768,1000,28.97,1131.27
65536,640,61.99,1057.14
131072,320,88.13,1487.23
262144,160,149.17,1757.30
524288,80,220.26,2380.35
1048576,40,365.26,2870.77
2097152,20,657.67,3188.75
4194304,10,1410.31,2974.04
8388608,5,2661.14,3152.26
16777216,2,5729.92,2928.00
33554432,1,11776.93,2849.17
67108864,1,23044.52,2912.14
134217728,1,46175.04,2906.72
268435456,1,92041.53,2916.46
