# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.42,2.37
2,1000,0.40,4.99
4,1000,0.40,9.97
8,1000,0.40,19.96
16,1000,0.40,39.81
32,1000,0.57,56.31
64,1000,0.56,115.24
128,1000,0.88,146.04
256,1000,0.93,276.34
512,1000,1.11,461.27
1024,1000,1.30,786.91
2048,1000,2.12,966.11
4096,1000,3.00,1366.38
8192,1000,4.82,1700.13
16384,1000,7.51,2181.19
32768,1000,13.22,2478.12
65536,640,24.32,2695.24
131072,320,45.46,2883.55
262144,160,13.14,19947.14
524288,80,22.91,22887.91
1048576,40,51.22,20471.99
2097152,20,137.41,15261.99
4194304,10,290.87,14419.90
8388608,5,642.40,13058.20
16777216,2,2154.54,7786.90
33554432,1,6076.47,5522.02
67108864,1,12826.49,5232.05
134217728,1,25514.61,5260.43
268435456,1,52351.93,5127.52
