# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.45,2.20
2,1000,0.45,4.46
4,1000,0.45,8.92
8,1000,0.45,17.92
16,1000,0.45,35.82
32,1000,0.63,50.40
64,1000,0.63,101.94
128,1000,0.97,132.54
256,1000,1.17,218.69
512,1000,1.23,415.25
1024,1000,1.49,687.33
2048,1000,2.23,916.62
4096,1000,3.26,1256.20
8192,1000,5.20,1576.59
16384,1000,4.64,3527.30
32768,1000,5.68,5767.32
65536,640,6.78,9659.09
131072,320,9.43,13899.33
262144,160,12.66,20701.16
524288,80,26.18,20026.84
1048576,40,51.78,20249.93
2097152,20,137.86,15211.79
4194304,10,294.15,14259.25
8388608,5,667.06,12575.50
16777216,2,2157.77,7775.26
33554432,1,6082.10,5516.92
67108864,1,12571.45,5338.20
134217728,1,25408.22,5282.45
268435456,1,49670.72,5404.30
