# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.46,2.20
2,1000,0.46,4.34
4,1000,0.47,8.52
8,1000,0.47,16.93
16,1000,0.46,34.59
32,1000,0.49,65.36
64,1000,0.48,132.06
128,1000,0.58,219.10
256,1000,0.63,405.25
512,1000,0.86,595.20
1024,1000,0.92,1113.84
2048,1000,1.10,1869.05
4096,1000,1.48,2762.59
8192,1000,2.02,4049.62
16384,1000,3.19,5142.03
32768,1000,5.02,6533.08
65536,640,9.10,7201.23
131072,320,17.89,7327.56
262144,160,34.16,7674.74
524288,80,82.30,6370.49
1048576,40,168.44,6225.17
2097152,20,334.45,6270.51
4194304,10,667.02,6288.09
8388608,5,1428.93,5870.55
16777216,2,3901.89,4299.76
33554432,1,8065.86,4160.06
67108864,1,16170.74,4150.02
134217728,1,32302.18,4155.07
268435456,1,64696.78,4149.13
