# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.42,2.36
2,1000,0.43,4.70
4,1000,0.43,9.36
8,1000,0.43,18.80
16,1000,0.43,37.36
32,1000,0.47,68.29
64,1000,0.47,136.84
128,1000,0.58,220.57
256,1000,0.64,399.23
512,1000,0.81,631.48
1024,1000,0.88,1162.74
2048,1000,1.05,1941.50
4096,1000,1.50,2735.12
8192,1000,1.96,4179.83
16384,1000,3.29,4973.23
32768,1000,5.09,6439.90
65536,640,9.17,7145.18
131072,320,17.80,7363.11
262144,160,34.89,7513.76
524288,80,81.52,6431.71
1048576,40,167.82,6248.09
2097152,20,334.48,6269.95
4194304,10,666.65,6291.57
8388608,5,1421.74,5900.23
16777216,2,3931.11,4267.80
33554432,1,8047.17,4169.72
67108864,1,16178.70,4147.98
134217728,1,32344.36,4149.65
268435456,1,64662.79,4151.31
