# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.94,0.00
1,1000,7.97,0.13
2,1000,7.92,0.25
4,1000,7.93,0.50
8,1000,7.94,1.01
16,1000,7.91,2.02
32,1000,7.94,4.03
64,1000,8.22,7.78
128,1000,8.21,15.59
256,1000,8.29,30.89
512,1000,10.05,50.97
1024,1000,10.19,100.47
2048,1000,10.66,192.18
4096,1000,11.70,350.11
8192,1000,12.96,632.34
16384,1000,22.49,728.49
32768,1000,34.49,950.20
65536,640,55.92,1171.94
131072,320,103.15,1270.74
262144,160,113.37,2312.32
524288,80,173.62,3019.75
1048576,40,306.28,3423.53
2097152,20,620.91,3377.52
4194304,10,1232.04,3404.35
8388608,5,2441.21,3436.25
16777216,2,5060.67,3315.22
33554432,1,10321.90,3250.80
67108864,1,20505.36,3272.75
134217728,1,40885.91,3282.74
268435456,1,81418.93,3296.97
