# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.21,0.00
1,1000,1.21,0.83
2,1000,1.21,1.65
4,1000,1.21,3.30
8,1000,1.21,6.61
16,1000,1.21,13.21
32,1000,1.24,25.71
64,1000,1.49,43.08
128,1000,1.54,83.29
256,1000,1.81,141.48
512,1000,1.90,269.57
1024,1000,2.09,490.03
2048,1000,2.83,722.43
4096,1000,3.68,1114.56
8192,1000,4.72,1737.00
16384,1000,6.42,2551.87
32768,1000,9.98,3283.26
65536,640,12.96,5057.64
131072,320,21.78,6016.85
262144,160,32.96,7954.40
524288,80,54.91,9548.33
1048576,40,97.13,10795.93
2097152,20,185.50,11305.19
4194304,10,355.37,11802.58
8388608,5,698.18,12014.92
16777216,2,1385.81,12106.43
33554432,1,2759.94,12157.68
67108864,1,5500.05,12201.50
134217728,1,10989.28,12213.52
268435456,1,21929.73,12240.71
