# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.14,0.00
1,1000,8.22,0.12
2,1000,8.24,0.24
4,1000,8.22,0.49
8,1000,8.17,0.98
16,1000,8.18,1.96
32,1000,8.20,3.90
64,1000,8.26,7.75
128,1000,8.68,14.75
256,1000,8.71,29.40
512,1000,8.70,58.86
1024,1000,9.56,107.12
2048,1000,9.24,221.69
4096,1000,10.85,377.46
8192,1000,11.84,691.81
16384,1000,15.55,1053.36
32768,1000,25.81,1269.75
65536,640,55.54,1179.99
131072,320,77.23,1697.14
262144,160,111.91,2342.50
524288,80,172.98,3030.89
1048576,40,307.91,3405.41
2097152,20,604.36,3470.01
4194304,10,1203.63,3484.71
8388608,5,2433.83,3446.67
16777216,2,5245.93,3198.14
33554432,1,10843.88,3094.32
67108864,1,21194.02,3166.41
134217728,1,42253.26,3176.51
268435456,1,81651.69,3287.57
