# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.41,2.45
2,1000,0.39,5.07
4,1000,0.39,10.15
8,1000,0.40,20.22
16,1000,0.40,40.42
32,1000,0.56,57.40
64,1000,0.55,116.64
128,1000,0.92,138.70
256,1000,0.96,266.33
512,1000,1.16,441.30
1024,1000,1.34,762.81
2048,1000,2.11,968.55
4096,1000,3.09,1326.61
8192,1000,4.97,1649.71
16384,1000,8.33,1966.67
32768,1000,14.53,2254.47
65536,640,26.68,2456.40
131072,320,51.52,2544.18
262144,160,15.09,17372.15
524288,80,27.07,19371.22
1048576,40,54.03,19406.30
2097152,20,144.53,14510.40
4194304,10,313.08,13397.04
8388608,5,631.98,13273.48
16777216,2,2128.56,7881.97
33554432,1,6109.40,5492.26
67108864,1,12787.41,5248.04
134217728,1,27011.04,4968.99
268435456,1,49927.95,5376.46
