# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.33,0.00
1,1000,9.35,0.11
2,1000,9.35,0.21
4,1000,9.37,0.43
8,1000,9.38,0.85
16,1000,9.37,1.71
32,1000,9.41,3.40
64,1000,9.43,6.79
128,1000,9.57,13.38
256,1000,15.64,16.37
512,1000,18.04,28.37
1024,1000,24.25,42.22
2048,1000,21.02,97.43
4096,1000,21.17,193.48
8192,1000,21.40,382.78
16384,1000,22.04,743.25
32768,1000,28.48,1150.60
65536,640,45.81,1430.49
131072,320,64.45,2033.83
262144,160,98.48,2661.91
524288,80,184.62,2839.86
1048576,40,366.09,2864.29
2097152,20,730.88,2869.35
4194304,10,1579.66,2655.19
