# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.32
2,1000,0.23,8.75
4,1000,0.23,17.50
8,1000,0.23,35.12
16,1000,0.23,69.55
32,1000,0.25,130.31
64,1000,0.25,257.52
128,1000,0.26,484.70
256,1000,0.29,894.52
512,1000,0.43,1180.42
1024,1000,0.44,2305.17
2048,1000,0.59,3461.98
4096,1000,0.84,4890.94
8192,1000,1.37,5995.65
16384,1000,2.34,7004.03
32768,1000,3.53,9271.83
65536,640,5.65,11592.05
131072,320,8.67,15119.20
262144,160,14.97,17516.18
524288,80,40.80,12851.61
1048576,40,81.64,12844.50
2097152,20,154.31,13590.72
4194304,10,384.79,10900.17
