# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.51
2,1000,0.22,9.07
4,1000,0.22,18.00
8,1000,0.22,36.00
16,1000,0.22,71.72
32,1000,0.24,135.58
64,1000,0.24,270.54
128,1000,0.25,506.66
256,1000,0.28,919.59
512,1000,0.45,1148.14
1024,1000,0.45,2278.89
2048,1000,0.60,3438.72
4096,1000,0.83,4928.53
8192,1000,1.43,5741.05
16384,1000,2.36,6956.51
32768,1000,3.58,9158.27
65536,640,5.78,11347.97
131072,320,8.70,15070.35
262144,160,14.97,17509.29
524288,80,40.73,12872.19
1048576,40,81.13,12924.86
2097152,20,153.83,13632.55
4194304,10,388.77,10788.70
