# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.17,0.00
1,1000,9.16,0.11
2,1000,9.16,0.22
4,1000,9.11,0.44
8,1000,8.90,0.90
16,1000,8.91,1.80
32,1000,9.11,3.51
64,1000,8.93,7.17
128,1000,8.94,14.31
256,1000,9.02,28.37
512,1000,11.89,43.07
1024,1000,12.07,84.84
2048,1000,14.89,137.52
4096,1000,16.30,251.36
8192,1000,18.95,432.33
16384,1000,28.72,570.46
32768,1000,42.12,777.95
65536,640,72.09,909.09
131072,320,134.17,976.89
262144,160,161.26,1625.63
524288,80,233.29,2247.35
1048576,40,384.80,2725.02
2097152,20,757.83,2767.30
4194304,10,1289.23,3253.34
