# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.71,0.00
1,1000,1.69,0.59
2,1000,1.71,1.17
4,1000,1.71,2.34
8,1000,1.73,4.62
16,1000,1.71,9.36
32,1000,1.68,19.08
64,1000,1.77,36.20
128,1000,1.96,65.26
256,1000,2.07,123.96
512,1000,2.15,238.47
1024,1000,2.18,470.79
2048,1000,2.50,820.12
4096,1000,3.65,1122.09
8192,1000,4.11,1992.22
16384,1000,4.58,3578.12
32768,1000,5.44,6027.23
65536,640,6.71,9768.93
131072,320,9.60,13658.81
262144,160,16.02,16362.37
524288,80,30.24,17339.65
1048576,40,83.92,12494.27
2097152,20,204.89,10235.75
4194304,10,404.52,10368.55
