# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.35
2,1000,0.43,4.68
4,1000,0.43,9.35
8,1000,0.43,18.44
16,1000,0.43,37.63
32,1000,0.46,69.06
64,1000,0.46,138.03
128,1000,0.58,220.10
256,1000,0.63,409.20
512,1000,0.80,640.51
1024,1000,0.89,1146.57
2048,1000,1.04,1973.10
4096,1000,1.45,2828.87
8192,1000,1.96,4190.17
16384,1000,3.22,5081.70
32768,1000,5.09,6438.64
65536,640,9.15,7164.50
131072,320,17.93,7308.31
262144,160,34.39,7623.12
524288,80,83.09,6309.72
1048576,40,169.74,6177.71
2097152,20,336.99,6223.10
4194304,10,668.99,6269.64
