# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=sockets ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,12.10,0.00
1,1000,11.99,0.08
2,1000,12.04,0.17
4,1000,11.99,0.33
8,1000,11.96,0.67
16,1000,12.01,1.33
32,1000,11.98,2.67
64,1000,12.13,5.28
128,1000,12.35,10.36
256,1000,31.30,8.18
512,1000,42.01,12.19
1024,1000,40.60,25.22
2048,1000,25.70,79.68
4096,1000,30.71,133.39
8192,1000,35.65,229.78
16384,1000,30.06,544.96
32768,1000,45.61,718.47
65536,640,59.67,1098.40
131072,320,117.55,1115.04
262144,160,155.58,1684.95
524288,80,249.15,2104.29
1048576,40,460.51,2276.96
2097152,20,900.05,2330.04
4194304,10,1779.03,2357.63
