# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.49,0.00
1,1000,0.49,2.05
2,1000,0.49,4.12
4,1000,0.50,8.05
8,1000,0.50,16.13
16,1000,0.50,32.29
32,1000,0.50,63.71
64,1000,0.51,126.50
128,1000,0.51,253.06
256,1000,0.52,489.96
512,1000,0.64,805.94
1024,1000,0.73,1399.20
2048,1000,0.89,2310.56
4096,1000,1.15,3551.74
8192,1000,1.53,5357.56
16384,1000,2.32,7055.66
32768,1000,3.51,9323.57
65536,640,5.67,11554.64
131072,320,8.67,15111.76
262144,160,14.80,17713.22
524288,80,41.19,12728.66
1048576,40,81.27,12903.01
2097152,20,154.01,13616.62
4194304,10,390.64,10737.03
