# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.33
2,1000,0.43,4.70
4,1000,0.43,9.36
8,1000,0.43,18.68
16,1000,0.43,37.48
32,1000,0.47,67.91
64,1000,0.47,134.77
128,1000,0.59,216.20
256,1000,0.63,408.23
512,1000,0.80,642.30
1024,1000,0.88,1168.40
2048,1000,1.03,1983.64
4096,1000,1.42,2890.09
8192,1000,1.97,4157.78
16384,1000,3.29,4984.89
32768,1000,5.13,6385.01
65536,640,9.24,7091.67
131072,320,17.99,7284.89
262144,160,34.75,7544.62
524288,80,83.19,6302.39
1048576,40,169.46,6187.70
2097152,20,336.34,6235.21
4194304,10,669.18,6267.87
