# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.44,0.00
1,1000,5.51,0.18
2,1000,5.51,0.36
4,1000,5.52,0.73
8,1000,5.53,1.45
16,1000,5.52,2.90
32,1000,5.54,5.78
64,1000,5.54,11.55
128,1000,5.61,22.82
256,1000,5.64,45.39
512,1000,5.68,90.08
1024,1000,6.29,162.71
2048,1000,6.13,333.92
4096,1000,7.07,579.57
8192,1000,7.52,1089.47
16384,1000,9.67,1694.73
32768,1000,15.71,2086.01
65536,640,29.76,2202.10
131072,320,39.78,3294.97
262144,160,54.21,4835.57
524288,80,86.45,6064.82
1048576,40,150.73,6956.48
2097152,20,286.37,7323.15
4194304,10,603.52,6949.75
