# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.99,1.01
2,1000,1.01,1.99
4,1000,1.00,3.99
8,1000,0.99,8.08
16,1000,0.99,16.17
32,1000,1.00,32.06
64,1000,1.16,55.38
128,1000,1.17,108.94
256,1000,1.41,181.68
512,1000,1.48,346.23
1024,1000,1.64,624.37
2048,1000,2.30,890.99
4096,1000,3.17,1293.10
8192,1000,4.44,1846.42
16384,1000,6.24,2627.10
32768,1000,8.39,3903.42
65536,640,12.23,5358.61
131072,320,18.39,7128.43
262144,160,31.94,8207.43
524288,80,54.21,9671.38
1048576,40,96.94,10816.80
2097152,20,182.27,11505.55
4194304,10,352.29,11905.77
