# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.41,0.00
1,1000,0.39,2.54
2,1000,0.39,5.09
4,1000,0.40,10.08
8,1000,0.41,19.69
16,1000,0.39,40.55
32,1000,0.56,57.24
64,1000,0.56,114.68
128,1000,0.87,146.29
256,1000,0.91,280.08
512,1000,1.12,456.69
1024,1000,1.31,782.56
2048,1000,2.12,967.63
4096,1000,3.08,1330.50
8192,1000,4.95,1656.50
16384,1000,7.94,2064.64
32768,1000,13.67,2397.73
65536,640,25.36,2583.78
131072,320,48.18,2720.62
262144,160,14.72,17809.55
524288,80,28.64,18303.60
1048576,40,59.48,17629.89
2097152,20,145.96,14368.04
4194304,10,296.24,14158.27
