# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.40,0.00
1,1000,0.39,2.54
2,1000,0.39,5.09
4,1000,0.39,10.24
8,1000,0.39,20.33
16,1000,0.39,40.82
32,1000,0.56,56.96
64,1000,0.57,112.56
128,1000,0.86,149.02
256,1000,0.91,281.91
512,1000,1.11,459.74
1024,1000,1.28,798.57
2048,1000,2.10,974.78
4096,1000,3.00,1363.55
8192,1000,4.79,1710.75
16384,1000,7.36,2226.83
32768,1000,13.07,2507.82
65536,640,24.16,2712.84
131072,320,45.18,2901.06
262144,160,13.16,19926.50
524288,80,25.77,20346.19
1048576,40,57.35,18284.09
2097152,20,146.13,14350.86
4194304,10,299.03,14026.39
