# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = 16.962 usec; Calculated Bandwidth = 2421.562 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,16.86,0.0,39.147,0.0
1,1000,16.93,0.06,39.147,0.026
2,1000,16.94,0.12,39.148,0.051
4,1000,16.98,0.24,39.149,0.102
8,1000,17.1,0.47,39.15,0.204
16,1000,17.12,0.93,39.154,0.409
32,1000,17.07,1.87,39.16,0.817
64,1000,17.2,3.72,39.174,1.634
128,1000,17.41,7.35,39.2,3.265
256,1000,17.53,14.61,39.253,6.522
512,1000,18.07,28.34,39.359,13.009
1024,1000,18.49,55.39,39.57,25.878
2048,1000,39.76,51.5,39.993,51.209
4096,1000,40.26,101.75,40.839,100.297
8192,1000,41.21,198.79,42.53,192.617
16384,1000,43.61,375.69,45.913,356.849
32768,1000,52.24,627.25,52.679,622.033
65536,640,149.33,438.86,66.211,989.811
131072,320,156.97,835.01,93.274,1405.234
262144,160,207.37,1264.16,147.401,1778.439
524288,80,309.15,1695.88,255.655,2050.762
1048576,40,502.68,2085.96,472.163,2220.791
2097152,20,901.81,2325.48,905.18,2316.835
4194304,10,1751.57,2394.6,1771.212,2368.041
