# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = 0.404 usec; Calculated Bandwidth = 14609.892 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.41,0.0,3.052,0.0
1,1000,0.41,2.46,3.052,0.328
2,1000,0.4,5.0,3.052,0.655
4,1000,0.4,9.98,3.052,1.311
8,1000,0.4,19.99,3.053,2.621
16,1000,0.4,40.1,3.053,5.241
32,1000,0.56,57.47,3.054,10.478
64,1000,0.56,113.5,3.056,20.94
128,1000,0.87,147.89,3.061,41.82
256,1000,0.9,285.82,3.069,83.402
512,1000,1.11,460.32,3.087,165.857
1024,1000,1.29,796.18,3.122,327.99
2048,1000,2.07,987.21,3.192,641.577
4096,1000,2.97,1380.77,3.332,1229.177
8192,1000,4.78,1714.07,3.613,2267.575
16384,1000,7.91,2071.22,4.173,3925.829
32768,1000,13.79,2375.7,5.295,6188.692
65536,640,25.69,2550.61,7.538,8694.45
131072,320,46.55,2815.75,12.023,10901.4
262144,160,14.54,18023.35,20.995,12486.1
524288,80,25.51,20552.83,38.938,13464.764
1048576,40,55.96,18736.88,74.824,14013.974
2097152,20,142.3,14737.99,146.595,14305.73
4194304,10,297.64,14091.99,290.139,14456.211
