# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.98,0.00
1,1000,1.94,0.52
2,1000,2.01,1.00
4,1000,2.08,1.93
8,1000,2.07,3.87
16,1000,2.02,7.91
32,1000,2.05,15.64
64,1000,2.07,30.92
128,1000,2.00,64.14
256,1000,2.21,115.66
512,1000,2.14,238.87
1024,1000,2.15,476.06
2048,1000,2.30,889.86
4096,1000,2.79,1468.49
8192,1000,3.17,2586.64
16384,1000,3.53,4636.06
32768,1000,4.23,7742.75
65536,640,5.74,11414.31
131072,320,9.05,14476.22
262144,160,14.54,18029.99
524288,80,31.47,16658.12
1048576,40,85.77,12225.70
2097152,20,192.66,10884.99
4194304,10,468.79,8947.16
8388608,5,1715.60,4889.60
16777216,2,3998.41,4195.97
33554432,1,8134.42,4125.00
67108864,1,16104.82,4167.01
134217728,1,32214.44,4166.38
268435456,1,63801.31,4207.37
