# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.47
2,1000,0.22,8.99
4,1000,0.22,17.85
8,1000,0.22,35.70
16,1000,0.23,71.10
32,1000,0.24,133.98
64,1000,0.24,267.09
128,1000,0.26,501.35
256,1000,0.28,911.66
512,1000,0.42,1210.27
1024,1000,0.45,2282.80
2048,1000,0.58,3527.00
4096,1000,0.83,4927.23
8192,1000,1.42,5768.49
16384,1000,2.38,6893.04
32768,1000,3.57,9178.75
65536,640,5.82,11265.85
131072,320,8.88,14753.95
262144,160,15.93,16459.21
524288,80,41.46,12645.02
1048576,40,84.22,12451.00
2097152,20,164.46,12752.02
4194304,10,425.50,9857.44
8388608,5,1163.56,7209.42
16777216,2,2709.33,6192.38
33554432,1,6074.06,5524.22
67108864,1,12085.11,5553.02
134217728,1,24410.39,5498.38
268435456,1,50391.84,5326.96
