# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = 0.43 usec; Calculated Bandwidth = 4146.448 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.43,0.0,48.949,0.0
1,1000,0.43,2.3,48.949,0.02
2,1000,0.43,4.69,48.949,0.041
4,1000,0.43,9.27,48.948,0.082
8,1000,0.43,18.48,48.947,0.163
16,1000,0.43,36.98,48.945,0.327
32,1000,0.46,69.01,48.941,0.654
64,1000,0.47,136.96,48.934,1.308
128,1000,0.58,221.42,48.918,2.617
256,1000,0.6,426.08,48.887,5.237
512,1000,0.8,636.97,48.826,10.486
1024,1000,0.87,1172.31,48.702,21.026
2048,1000,1.01,2021.44,48.455,42.266
4096,1000,1.46,2804.81,47.961,85.402
8192,1000,1.98,4147.15,46.974,174.396
16384,1000,3.32,4935.74,44.998,364.106
32768,1000,5.0,6555.92,41.047,798.313
65536,640,9.27,7070.05,33.144,1977.319
131072,320,17.76,7382.25,17.339,7559.577
262144,160,35.11,7465.94,14.272,18367.537
524288,80,83.01,6316.27,77.493,6765.575
1048576,40,168.19,6234.35,203.936,5141.687
2097152,20,334.54,6268.76,456.822,4590.747
4194304,10,667.96,6279.26,962.592,4357.3
8388608,5,1428.68,5871.59,1974.134,4249.26
16777216,2,3931.97,4266.88,3997.217,4197.224
33554432,1,8136.0,4124.19,8043.383,4171.681
67108864,1,16206.77,4140.79,16135.715,4159.026
134217728,1,32246.28,4162.27,32320.38,4152.727
268435456,1,64724.17,4147.38,64689.709,4149.585
