# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = 1.216 usec; Calculated Bandwidth = 12247.628 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,1.21,0.0,5.575,0.0
1,1000,1.22,0.82,5.575,0.179
2,1000,1.21,1.65,5.575,0.359
4,1000,1.22,3.28,5.575,0.717
8,1000,1.22,6.58,5.576,1.435
16,1000,1.21,13.19,5.576,2.869
32,1000,1.25,25.64,5.578,5.737
64,1000,1.49,42.97,5.58,11.469
128,1000,1.55,82.58,5.585,22.917
256,1000,1.82,140.76,5.596,45.749
512,1000,1.9,269.31,5.617,91.157
1024,1000,2.1,488.7,5.659,180.966
2048,1000,2.82,726.8,5.742,356.663
4096,1000,3.66,1120.47,5.909,693.141
8192,1000,4.7,1744.02,6.244,1312.029
16384,1000,6.44,2544.89,6.913,2370.155
32768,1000,9.66,3391.55,8.25,3971.708
65536,640,12.48,5252.93,10.926,5998.273
131072,320,21.39,6126.76,16.277,8052.725
262144,160,32.88,7973.28,26.979,9716.756
524288,80,54.17,9678.59,48.382,10836.381
1048576,40,97.3,10776.21,91.19,11498.866
2097152,20,185.54,11303.12,176.804,11861.442
4194304,10,355.16,11809.64,348.033,12051.442
8388608,5,697.17,12032.38,690.492,12148.743
16777216,2,1384.77,12115.51,1375.409,12197.986
33554432,1,2750.84,12197.89,2745.243,12222.757
67108864,1,5473.24,12261.26,5484.91,12235.18
134217728,1,10972.14,12232.59,10964.246,12241.401
268435456,1,21920.17,12246.05,21922.916,12244.514
