# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = 6.502 usec; Calculated Bandwidth = 5247.181 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,6.5,0.0,10.713,0.0
1,1000,6.49,0.15,10.714,0.093
2,1000,6.5,0.31,10.714,0.187
4,1000,6.51,0.61,10.714,0.373
8,1000,6.51,1.23,10.715,0.747
16,1000,6.48,2.47,10.716,1.493
32,1000,6.53,4.9,10.719,2.985
64,1000,6.53,9.81,10.726,5.967
128,1000,6.57,19.49,10.738,11.921
256,1000,10.72,23.87,10.762,23.787
512,1000,12.09,42.34,10.811,47.359
1024,1000,15.51,66.03,10.909,93.872
2048,1000,13.51,151.59,11.104,184.444
4096,1000,13.92,294.17,11.494,356.361
8192,1000,14.43,567.62,12.275,667.396
16384,1000,14.49,1130.69,13.836,1184.175
32768,1000,15.66,2092.29,16.958,1932.277
65536,640,23.19,2825.91,23.203,2824.45
131072,320,30.29,4326.58,35.693,3672.219
262144,160,48.13,5446.33,60.672,4320.649
524288,80,94.65,5539.24,110.631,4739.053
1048576,40,198.64,5278.87,210.549,4980.19
2097152,20,387.14,5417.1,410.385,5110.201
4194304,10,862.27,4864.25,810.058,5177.785
8388608,5,1484.34,5651.41,1609.402,5212.252
16777216,2,3236.85,5183.2,3208.09,5229.658
33554432,1,6422.28,5224.69,6405.467,5238.405
67108864,1,12833.24,5229.3,12800.221,5242.79
134217728,1,25785.34,5205.2,25589.728,5244.984
268435456,1,51062.15,5257.03,51168.743,5246.083
