# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.44,2.25
2,1000,0.45,4.46
4,1000,0.44,9.06
8,1000,0.44,18.05
16,1000,0.44,36.08
32,1000,0.63,50.93
64,1000,0.64,99.64
128,1000,0.98,130.89
256,1000,1.15,223.30
512,1000,1.23,415.36
1024,1000,1.46,699.12
2048,1000,2.24,916.18
4096,1000,3.27,1250.85
8192,1000,5.18,1580.59
16384,1000,4.56,3593.86
32768,1000,5.30,6177.05
65536,640,6.65,9853.65
131072,320,8.61,15222.82
262144,160,12.95,20246.83
524288,80,22.29,23524.91
1048576,40,50.59,20728.93
2097152,20,143.38,14626.20
4194304,10,291.20,14403.68
