# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = 11.906 usec; Calculated Bandwidth = 2968.601 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,11.87,0.0,31.02,0.0
1,1000,11.92,0.08,31.02,0.032
2,1000,11.87,0.17,31.02,0.064
4,1000,11.93,0.34,31.021,0.129
8,1000,11.94,0.67,31.022,0.258
16,1000,11.89,1.35,31.025,0.516
32,1000,11.45,2.79,31.03,1.031
64,1000,11.49,5.57,31.041,2.062
128,1000,11.65,10.99,31.063,4.121
256,1000,28.15,9.1,31.106,8.23
512,1000,31.27,16.38,31.192,16.414
1024,1000,44.81,22.85,31.365,32.648
2048,1000,24.15,84.8,31.71,64.586
4096,1000,23.96,170.98,32.399,126.422
8192,1000,31.42,260.7,33.779,242.516
16384,1000,46.38,353.28,36.539,448.401
32768,1000,54.82,597.72,42.058,779.117
65536,640,57.68,1136.15,53.096,1234.291
131072,320,103.31,1268.77,75.172,1743.618
262144,160,148.26,1768.16,119.325,2196.886
524288,80,247.12,2121.6,207.631,2525.097
1048576,40,430.01,2438.49,384.242,2728.947
2097152,20,799.04,2624.6,737.464,2843.734
4194304,10,1393.86,3009.12,1443.909,2904.826
