# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = 8.5 usec; Calculated Bandwidth = 3590.079 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,8.79,0.0,19.849,0.0
1,1000,8.45,0.12,19.849,0.05
2,1000,8.39,0.24,19.849,0.101
4,1000,8.31,0.48,19.85,0.202
8,1000,8.56,0.93,19.851,0.403
16,1000,8.36,1.91,19.853,0.806
32,1000,8.4,3.81,19.858,1.611
64,1000,8.41,7.61,19.867,3.221
128,1000,8.66,14.78,19.884,6.437
256,1000,8.3,30.86,19.92,12.851
512,1000,10.67,47.97,19.991,25.611
1024,1000,11.05,92.64,20.134,50.859
2048,1000,13.21,155.0,20.419,100.297
4096,1000,14.38,284.82,20.99,195.143
8192,1000,16.83,486.88,22.131,370.165
16384,1000,26.36,621.57,24.413,671.131
32768,1000,37.48,874.37,28.976,1130.858
65536,640,63.54,1031.47,38.104,1719.943
131072,320,119.3,1098.7,56.358,2325.689
262144,160,131.32,1996.3,92.868,2822.764
524288,80,192.97,2717.0,165.887,3160.516
1048576,40,324.07,3235.63,311.925,3361.63
2097152,20,576.51,3637.65,604.001,3472.101
4194304,10,1190.66,3522.66,1188.153,3530.105
