# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode007.hpc, ct1pt-tnode008.hpc
# Calculated Latency = 0.238 usec; Calculated Bandwidth = 11423.763 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.22,0.0,1.433,0.0
1,1000,0.22,4.46,1.433,0.698
2,1000,0.23,8.88,1.433,1.395
4,1000,0.24,16.72,1.433,2.791
8,1000,0.28,28.46,1.433,5.584
16,1000,0.23,70.23,1.432,11.173
32,1000,0.24,133.5,1.431,22.368
64,1000,0.24,266.22,1.428,44.824
128,1000,0.25,502.28,1.422,90.001
256,1000,0.28,921.18,1.411,181.43
512,1000,0.42,1207.99,1.389,368.717
1024,1000,0.44,2350.03,1.344,762.029
2048,1000,0.58,3541.53,1.254,1632.987
4096,1000,0.83,4912.33,1.075,3810.701
8192,1000,1.47,5578.97,0.716,11436.28
16384,1000,2.41,6811.76,0.001,20876055.411
32768,1000,3.61,9076.02,1.435,22835.031
65536,640,5.76,11369.6,4.303,15228.907
131072,320,8.67,15120.71,10.04,13054.709
262144,160,15.07,17392.1,21.514,12184.903
524288,80,40.2,13043.51,44.461,11792.064
1048576,40,80.92,12957.84,90.356,11604.992
2097152,20,154.05,13613.61,182.145,11513.665
4194304,10,383.05,10949.65,365.723,11468.538
