# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.46,0.00
1,1000,5.52,0.18
2,1000,5.51,0.36
4,1000,5.51,0.73
8,1000,5.51,1.45
16,1000,5.52,2.90
32,1000,5.54,5.78
64,1000,5.54,11.55
128,1000,5.63,22.75
256,1000,5.67,45.12
512,1000,5.72,89.46
1024,1000,6.32,161.96
2048,1000,6.11,335.24
4096,1000,7.18,570.17
8192,1000,7.55,1084.63
16384,1000,9.68,1692.26
32768,1000,16.03,2044.78
65536,640,30.20,2169.91
131072,320,40.68,3222.11
262144,160,55.84,4694.67
524288,80,89.08,5885.45
1048576,40,154.97,6766.14
2097152,20,293.36,7148.83
4194304,10,657.51,6379.12
8388608,5,1605.01,5226.51
16777216,2,3424.71,4898.87
33554432,1,6895.68,4866.00
67108864,1,13093.76,5125.26
134217728,1,25946.38,5172.89
268435456,1,51559.10,5206.36
