# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = 0.286 usec; Calculated Bandwidth = 4120.754 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.26,0.0,30.249,0.0
1,1000,0.29,3.43,30.248,0.033
2,1000,0.3,6.72,30.248,0.066
4,1000,0.29,13.81,30.248,0.132
8,1000,0.29,27.8,30.247,0.264
16,1000,0.31,51.0,30.245,0.529
32,1000,0.31,102.2,30.241,1.058
64,1000,0.34,187.74,30.233,2.117
128,1000,0.4,321.44,30.218,4.236
256,1000,0.48,536.07,30.187,8.481
512,1000,0.64,800.73,30.124,16.996
1024,1000,0.69,1489.2,30.0,34.133
2048,1000,0.94,2190.03,29.752,68.836
4096,1000,1.78,2296.14,29.255,140.012
8192,1000,2.13,3844.14,28.261,289.873
16384,1000,2.74,5980.66,26.273,623.613
32768,1000,3.93,8348.41,22.297,1469.633
65536,640,5.52,11878.83,14.345,4568.631
131072,320,10.83,12097.57,1.559,84068.66
262144,160,18.98,13809.77,33.367,7856.414
524288,80,40.1,13075.85,96.982,5406.011
1048576,40,91.67,11438.3,224.213,4676.686
2097152,20,222.76,9414.26,478.676,4381.155
4194304,10,594.4,7056.41,987.6,4246.967
8388608,5,1633.05,5136.78,2005.449,4182.909
16777216,2,3941.67,4256.38,4041.146,4151.599
33554432,1,8350.23,4018.38,8112.54,4136.119
67108864,1,16709.86,4016.12,16255.329,4128.422
134217728,1,32952.35,4073.09,32540.906,4124.585
268435456,1,64789.62,4143.19,65112.061,4122.669
