# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = 0.196 usec; Calculated Bandwidth = 6240.607 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.2,0.0,48.389,0.0
1,1000,0.2,4.91,48.389,0.021
2,1000,0.2,10.21,48.389,0.041
4,1000,0.19,20.55,48.389,0.083
8,1000,0.19,41.94,48.388,0.165
16,1000,0.19,84.9,48.387,0.331
32,1000,0.22,142.23,48.384,0.661
64,1000,0.23,279.4,48.379,1.323
128,1000,0.31,409.54,48.369,2.646
256,1000,0.35,740.61,48.348,5.295
512,1000,0.4,1278.78,48.307,10.599
1024,1000,0.51,2018.31,48.225,21.234
2048,1000,0.75,2713.1,48.061,42.612
4096,1000,1.13,3628.5,47.733,85.811
8192,1000,1.88,4360.54,47.077,174.014
16384,1000,2.96,5538.51,45.764,358.011
32768,1000,4.81,6806.23,43.139,759.599
65536,640,8.35,7845.78,37.888,1729.739
131072,320,15.22,8612.24,27.386,4786.05
262144,160,12.56,20868.47,6.383,41067.98
524288,80,22.21,23601.96,35.623,14717.683
1048576,40,51.44,20385.2,119.635,8764.768
2097152,20,140.48,14928.34,287.66,7290.384
4194304,10,302.99,13843.1,623.709,6724.773
8388608,5,892.91,9394.69,1295.808,6473.65
16777216,2,2404.0,6978.89,2640.006,6354.992
33554432,1,5372.05,6246.12,5328.401,6297.28
67108864,1,10814.74,6205.32,10705.191,6268.815
134217728,1,21658.17,6197.1,21458.771,6254.679
268435456,1,42867.12,6262.04,42965.931,6247.635
