# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pt-tnode009.hpc, ct1pt-tnode010.hpc
# Calculated Latency = 7.83 usec; Calculated Bandwidth = 3152.645 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,7.79,0.0,20.21,0.0
1,1000,7.85,0.13,20.21,0.049
2,1000,7.84,0.25,20.209,0.099
4,1000,7.84,0.51,20.209,0.198
8,1000,7.83,1.02,20.207,0.396
16,1000,7.86,2.04,20.205,0.792
32,1000,7.86,4.07,20.2,1.584
64,1000,7.86,8.14,20.19,3.17
128,1000,8.26,15.49,20.169,6.346
256,1000,8.31,30.79,20.129,12.718
512,1000,8.4,60.96,20.047,25.539
1024,1000,9.36,109.4,19.885,51.496
2048,1000,8.89,230.39,19.56,104.702
4096,1000,10.68,383.61,18.911,216.598
8192,1000,11.39,719.27,17.611,465.153
16384,1000,15.37,1066.04,15.013,1091.323
32768,1000,25.77,1271.34,9.816,3338.203
65536,640,55.58,1179.06,0.578,113432.319
131072,320,76.81,1706.4,21.365,6134.784
262144,160,110.72,2367.72,62.941,4164.941
524288,80,173.06,3029.45,146.091,3588.773
1048576,40,305.47,3432.67,312.392,3356.602
2097152,20,604.33,3470.21,644.994,3251.428
4194304,10,1201.01,3492.33,1310.198,3201.274
8388608,5,2418.82,3468.06,2640.606,3176.773
16777216,2,5246.68,3197.68,5301.423,3164.663
33554432,1,10773.78,3114.45,10623.055,3158.642
67108864,1,21060.01,3186.55,21266.32,3155.641
134217728,1,42086.37,3189.1,42552.849,3154.142
268435456,1,85404.14,3143.12,85125.908,3153.393
